アーティスト名,曲名,BPM,ジャンル,おすすめ理由
Anyma & Chris Avantgarde,Consciousness,130,Melodic Techno,Anymaセット好きの直球。ピーク向け
Mathame,Nothing Around Us,122,Melodic Techno,叙情系メロテク。Afterlifeラインの王道
Massano,The Feeling,126,Melodic Techno,フロア即効。Argy/Adriatiqueと相性◎
Kevin de Vries & Mind Against,Drift,123,Melodic Techno,既存のSaga/Late at Nightと同系統の延長
Stephan Bodzin,Boavista,125,Melodic Techno,シンセが映える長尺ビルド。玄人受け
Colyn,Crystativity,124,Melodic Techno,Afterlife定番。透明感あるブレイク
Innellea,The Belonging,125,Melodic Techno,ダーク寄りメロテク。深い時間帯に
ARTBAT,Horizon,123,Melodic Techno,鉄板アンセム。掴みに強い
Adriatique & WhoMadeWho,Miracle (Anyma Remix),122,Melodic Techno,既存Adriatique好きならマスト
CamelPhat & Anyma,The Sign,124,Melodic Techno,ボーカル映え。ピーク前の山
Argy & Omnya,Aria,124,Melodic House,Argy本人収録済みだが代表曲。組み立てやすい
Yotto,The One You Left Behind,124,Progressive House,プログレ寄り。warmup〜中盤
Ben Bohmer,Begin Again,120,Organic House,オープニング/サンセット向けの叙情
Keinemusik,Muye,120,Afro House,Rampa所属。Afroの軸になる一曲
"&ME, Rampa, Adam Port",The Rapture Pt.III,121,Afro House,Keinemusikアンセム。鉄板
Adam Port & Stryv,Move (feat. Malachiii),122,Afro House,2024最大級のAfroヒット。確実に沸く
Black Coffee,SBCNCSLY (feat. Sabrina Claudio),112,Afro House,低BPMで雰囲気作り。深夜向け
Caiiro,The Akan,120,Afro House,SA Afroの重厚系。Shimza好きに刺さる
Themba,Modimo,122,Afro House,パワフルなAfro Tech。中盤の起爆剤
Sun-El Musician,Ubomi Abumanga,113,Afro House,メロディアスAfro。情感系の名曲
Francis Mercier & Idd Aziz,Fimbo,122,Afro House,ボーカルAfroの大ヒット。掴み強い
Moojo,Saudade,121,Afro House,メロディックAfro。Keinemusik文脈
Notre Dame,Heaven (Tribute),122,Afro House,フロアキラー。クラシックのAfroエディット
Chris Stussy,Up All Night,128,Tech House,今のTech Houseの基準。グルーヴ重視
Mochakk,Jealous,125,Tech House,世界的ブレイク曲。沸き確実
Michael Bibi,Hi Bitch,127,Tech House,ロールするベースで踊らせる
Cloonee,Be Someone,130,Tech House,高BPMで畳み掛ける時間帯に
James Hype,Ferrari,126,Tech House,ポップ寄りで掴み。既存のクロスオーバー趣味に合う
RUFUS DU SOL,Music Is Better,122,Melodic House,メロディックハウスの新定番。エモい締め
Tinlicker,Because You Move Me,122,Progressive House,美メロのプログレ。warmup/クロージング両用
Alesso & Sebastian Ingrosso,Calling (Lose My Mind),128,Progressive House,プログレの名曲。掴みに強い定番
Alesso,Heroes (We Could Be),126,Progressive House,ボーカルアンセム。ピーク前の山
Alesso,Years,128,Progressive House,叙情プログレの古典。エモい展開
Alesso,REMEDY,128,Progressive House,近年のフェス砲。畳み掛け向け
Alesso,Somebody to Use,123,Deep House,ハウス寄りで意外性。中盤のグルーヴ替え
Avicii,Wake Me Up,124,EDM Anthem,誰でも歌える最強シンガロング
Avicii,Levels,126,EDM Anthem,鉄板中の鉄板。掴み最強
Avicii,Hey Brother,125,EDM Anthem,エモい歌モノ。手が上がる
Avicii,The Nights,126,EDM Anthem,ポジティブ全開。締めに強い
Swedish House Mafia,Don't You Worry Child,129,EDM Anthem,涙腺アンセム。ピークの山
Swedish House Mafia,Save the World,126,EDM Anthem,クラシック。掴みに万能
David Guetta,Titanium (feat. Sia),126,EDM Anthem,歌モノの王様。全員知ってる
Calvin Harris,Summer,128,EDM Anthem,晴れやかアンセム。中盤の爆発
Calvin Harris,Feel So Close,128,EDM Anthem,ノリ重視。掴みに最適
Zedd,Clarity,128,EDM Anthem,美メロ歌モノ。エモの定番
Zedd & Alessia Cara,Stay,102,EDM Anthem,テンポ替えに。歌で聴かせる
Hardwell,Spaceman,130,Big Room,ビッグルーム砲。畳み掛け
Martin Garrix,Animals,128,Big Room,伝説のドロップ。全員沸く
Martin Garrix & Bebe Rexha,In the Name of Love,68/136,EDM Anthem,歌モノで一体感
Dimitri Vegas & Like Mike,Tremor,130,Big Room,フェス爆発力No.1級
Axwell /\ Ingrosso,More Than You Know,123,EDM Anthem,ハッピー歌モノ。締め向け
Alesso,Under Control (feat. Hurts),126,Progressive House,ユーフォリックの見本
Kygo,Firestone,114,Tropical House,サンセット定番。warmup
Kygo,Stole the Show,100,Tropical House,歌で聴かせる中だるみ回避
The Chainsmokers,Don't Let Me Down,160/80,EDM Anthem,ドロップ強烈。掴み◎
The Chainsmokers,Closer,95,EDM Anthem,全員合唱。テンポ替え枠
Marshmello,Alone,150/75,EDM Anthem,エモ砲。手が上がる
Marshmello & Bastille,Happier,100,EDM Anthem,泣ける締め曲
Galantis,Runaway (U & I),126,EDM Anthem,多幸感全開のアンセム
Clean Bandit,Symphony (feat. Zara Larsson),123,EDM Anthem,壮大な歌モノ
Lost Frequencies,Are You With Me,123,Deep House,オープニング/warmupの鉄板
Vicetone,Nevada (feat. Cozi Zuehlsdorff),128,EDM Anthem,ユーフォリック歌モノの名曲
Nicky Romero & Avicii,I Could Be the One,126,EDM Anthem,クラシックアンセム
Otto Knows,Million Voices,126,Progressive House,インスト系ユーフォリア
Alan Walker,Faded,90,EDM Anthem,世界的アンセム。全員知ってる
Alesso,If I Lose Myself (Alesso vs OneRepublic),128,Progressive House,伝説のリミックス。ピーク鉄板
Alesso,Cool (feat. Roy English),126,Progressive House,爽やか歌モノ。中盤映え
Alesso,Sweet Escape (feat. Sirena),128,Progressive House,叙情ドロップ。手が上がる
Alesso,Tear the Roof Up,128,Big Room,インスト砲。畳み掛け向け
Alesso & Katy Perry,When I'm Gone,128,Progressive House,歌モノヒット。掴みに強い
Alesso,Words (feat. Zara Larsson),122,Progressive House,ポップ寄り。一体感つくる
Alesso,In the Middle,124,Progressive House,グルーヴ重視。繋ぎやすい
Alesso & Charlotte de Witte,THE END,130,Melodic Techno,ダーク転換。メロテク軸にハマる
"Alan Walker, Alesso & Isak",Going Dumb,120,EDM Anthem,合唱系。テンションブースト
Alesso,Nillionaire,128,Big Room,骨太ドロップ。ピーク
Alesso,Falling,128,Progressive House,エモ系。締め前の山
Alesso,Chasing Stars (feat. Marshmello & James Bay),122,Progressive House,豪華歌モノ。エモい締め
Alesso & deadmau5,PROGRESSO,124,Progressive House,大御所タッグ。玄人枠
Alesso feat. Nate Dogg,I Am,128,Progressive House,歌ネタ映え。掴み◎
Alesso,Scars,126,Progressive House,叙情アンセム。手が上がる
